framework,experiment,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,elapsed_epoch_sec
pytorch,02_batch_order_alignment,2026,1,2.0579950683885126,0.159691737391474,2.3134043737227197,0.14129443938012762,0.001,141.654591582992
pytorch,02_batch_order_alignment,2026,2,1.8214530133466094,0.2541215491171593,1.7384687563236345,0.2520510483135825,0.001,141.73732745899179
pytorch,02_batch_order_alignment,2026,3,1.6609678998503752,0.31723734269827336,1.9032306793937928,0.2853236098450319,0.001,141.93106895800156
pytorch,02_batch_order_alignment,2026,4,1.5699232128838447,0.36328163106038436,1.8442480196818072,0.28577939835916133,0.001,141.88975158298854
pytorch,02_batch_order_alignment,2026,5,1.5292094502841167,0.38552336357428546,1.661218152767762,0.33272561531449407,0.001,142.26417354200385
pytorch,02_batch_order_alignment,2026,6,1.4674191619579808,0.41517900692615356,1.580659704308349,0.3459434822242479,0.001,141.93284875000245
pytorch,02_batch_order_alignment,2026,7,1.4368586541850235,0.4272753877670471,1.731251273029157,0.3122151321786691,0.001,142.15517166699283
pytorch,02_batch_order_alignment,2026,8,1.4008748585067718,0.4462979221539362,1.5839687746659994,0.3714676390154968,0.001,141.90038291699602
pytorch,02_batch_order_alignment,2026,9,1.3733299911609453,0.45107794361525705,1.5581165695581636,0.3837739288969918,0.001,142.0223225410009
pytorch,02_batch_order_alignment,2026,10,1.3489025818198008,0.4598575748707443,1.7913218266114173,0.3226982680036463,0.001,142.00830983300693
pytorch,02_batch_order_alignment,2026,11,1.3246873871266767,0.4759535655058043,1.55884364831415,0.4083865086599818,0.001,142.59827433399914
pytorch,02_batch_order_alignment,2026,12,1.3082055183704069,0.4789776607160277,1.4621740379655155,0.4252506836827712,0.001,141.98938933300087
pytorch,02_batch_order_alignment,2026,13,1.2947403056925535,0.49009852697297823,1.4803904339521716,0.43163172288058343,0.001,141.70675879099872
pytorch,02_batch_order_alignment,2026,14,1.282450398786186,0.49682957760218516,1.401958018296832,0.4612579762989973,0.001,141.70871370799432
pytorch,02_batch_order_alignment,2026,15,1.2540129660373895,0.509023509901473,2.1372024385953017,0.29307201458523247,0.001,141.87850270800118
pytorch,02_batch_order_alignment,2026,16,1.245492459820394,0.5125353624036679,1.6429514550249904,0.37693710118505014,0.001,142.01264825000544
pytorch,02_batch_order_alignment,2026,17,1.2281209705934422,0.5204370305336065,1.6596504540039174,0.3701002734731085,0.001,141.16674308299844
pytorch,02_batch_order_alignment,2026,18,1.202588430870662,0.5313627938737684,1.81472127993974,0.3910665451230629,0.001,141.1264439170045
pytorch,02_batch_order_alignment,2026,19,1.190695390877125,0.54023997658765,1.4340693828944413,0.43345487693710116,0.0005,141.84883737500058
pytorch,02_batch_order_alignment,2026,20,1.1332982642663862,0.565018047019803,1.4200605940797053,0.4845031905195989,0.0005,141.36953741699108
pytorch,02_batch_order_alignment,2026,21,1.1180366184662383,0.5713588918154326,1.4153440913615056,0.46946216955332726,0.0005,141.38521541700175
